SKU,Nome,Data de preço promocional começa em,Data de preço promocional termina em,Preço promocional,Preço
2170,"Tapete de Couro Médio 2,11 x 1,88 m",11/15/21 0:00,11/26/21 23:59,"566,1",629
2205,"Tapete de Couro P - 1,96 x 1,67 m",11/15/21 0:00,11/26/21 23:59,441,490
2216,"Tapete de Couro P - 1,90 x 1,75 m",11/15/21 0:00,11/26/21 23:59,441,490
2224,"Tapete de Couro P - 1,80 x 1,70 m",11/15/21 0:00,11/26/21 23:59,441,490
2225,"Tapete de Couro P - 1,80 x 1,58 m",11/15/21 0:00,11/26/21 23:59,441,490
2226,"Tapete de Couro P - 1,88 x 1,49 m",11/15/21 0:00,11/26/21 23:59,441,490
2228,"Tapete de Couro P - 1,91 x 1,66 m",11/15/21 0:00,11/26/21 23:59,441,490
2231,"Tapete de Couro P - 2,03 x 1,82 m",11/15/21 0:00,11/26/21 23:59,441,490
2232,"Tapete de Couro P - 1,80 x 1,62 m",11/15/21 0:00,11/26/21 23:59,441,490
2233,"Tapete de Couro P - 1,80 x 1,84 m",11/15/21 0:00,11/26/21 23:59,441,490
2235,"Tapete de Couro P - 2,02 x 1,67 m",11/15/21 0:00,11/26/21 23:59,441,490
2236,"Tapete de Couro P - 1,82 x 1,86 m",11/15/21 0:00,11/26/21 23:59,441,490
2237,"Tapete de Couro P - 1,75 x 1,80 m",11/15/21 0:00,11/26/21 23:59,441,490
2238,"Tapete de Couro P - 1,86 x 1,72 m",11/15/21 0:00,11/26/21 23:59,441,490
2239,"Tapete de Couro P - 1,86 x 1,67 m",11/15/21 0:00,11/26/21 23:59,441,490
2316,"Tapete de Couro Grande 2,31 x 1,99 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2333,"Tapete de Couro Grande 2,40 x 2,15 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2334,"Tapete de Couro Grande 2,28 x 2,00 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2335,"Tapete de Couro Grande 2,23 x 1,98 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2336,"Tapete de Couro Grande 2,27 x 2,00 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2338,"Tapete de Couro Grande 2,26 x 2,00 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2341,"Tapete de Couro Grande 2,33 x 2,13 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2342,"Tapete de Couro Grande 2,32 x 1,82 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2343,"Tapete de Couro Grande 2,20 x 1,91 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2344,"Tapete de Couro Grande 2,30 x 2,00 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2345,"Tapete de Couro Grande 2,15 x 1,88 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2346,"Tapete de Couro Grande 2,22 x 1,94 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2347,"Tapete de Couro Grande 2,20 x 1,98 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2348,"Tapete de Couro Grande 2,32 x 2,08 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2349,"Tapete de Couro Grande 2,21 x 1,95 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2350,"Tapete de Couro Grande 2,21 x 2,02 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2351,"Tapete de Couro Grande 2,13 x 2,12 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2352,"Tapete de Couro Grande 2,17 x 1,96 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2353,"Tapete de Couro Grande 2,31 x 2,09 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2354,"Tapete de Couro Grande 2,20 x 2,15 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2356,"Tapete de Couro Grande 2,21 x 1,96 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2357,"Tapete de Couro Grande 2,24 x 1,94 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2359,"Tapete de Couro Grande 2,41 x 2,00 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2360,"Tapete de Couro Grande 2,24 x 1,86 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2362,"Tapete de Couro Grande 2,21 x 1,81 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2370,"Tapete de Couro Grande 2,23 x 1,97 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2371,"Tapete de Couro Grande 2,18 x 2,02 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2372,"Tapete de Couro Grande 2,19 x 2,09 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2373,"Tapete de Couro Grande 2,32 x 2,09 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2374,"Tapete de Couro Grande 2,29 x 2,07 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2375,"Tapete de Couro Grande 2,44 x 2,05 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2376,"Tapete de Couro Grande 2,40 x 2,07 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2377,"Tapete de Couro Grande 2,27 x 2,02 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2378,"Tapete de Couro Grande 2,45 x 2,13 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2379,"Tapete de Couro Grande 2,34 x 2,05 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2380,"Tapete de Couro Grande 2,38 x 2,09 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2381,"Tapete de Couro Grande 2,33 x 2,08 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2382,"Tapete de Couro Grande 2,30 x 2,03 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2383,"Tapete de Couro Grande 2,32 x 2,07 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2384,"Tapete de Couro Grande 2,11 x 1,94 m",11/15/21 0:00,11/26/21 23:59,"683,1",759
2405,"Tapete de Couro Grande 2,40 x 2,12 m",11/15/21 0:00,11/26/21 23:59,"710,1",789
2411,"Tapete de Couro Grande 2,46 x 2,18 m",11/15/21 0:00,11/26/21 23:59,"710,1",789
2413,"Tapete de Couro Grande 2,31 x 2,06 m",11/15/21 0:00,11/26/21 23:59,"710,1",789
2414,"Tapete de Couro Grande 2,33 x 2,17 m",11/15/21 0:00,11/26/21 23:59,"710,1",789
2417,"Tapete de Couro Grande 2,19 x 2,02 m",11/15/21 0:00,11/26/21 23:59,"710,1",789
2418,"Tapete de Couro Grande 2,30 x 2,05 m",11/15/21 0:00,11/26/21 23:59,"710,1",789
2419,"Tapete de Couro Grande 2,33 x 2,08 m",11/15/21 0:00,11/26/21 23:59,"710,1",789
2420,"Tapete de Couro Grande 2,47 x 2,18 m",11/15/21 0:00,11/26/21 23:59,"710,1",789
