2021-11-10T03:25:13+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T03:25:14+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T03:25:14+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T10:46:42+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T10:46:44+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1071

2021-11-10T14:08:51+00:00 CRITICAL syntax error, unexpected end of file, expecting elseif (T_ELSEIF) or else (T_ELSE) or endif (T_ENDIF), em /opt/bitnami/apps/wordpress/htdocs/wp-content/plugins/woocommerce/templates/cart/cart-totals.php, na linha 117

2021-11-10T14:11:21+00:00 CRITICAL syntax error, unexpected end of file, expecting elseif (T_ELSEIF) or else (T_ELSE) or endif (T_ENDIF), em /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/mipro/woocommerce/cart/cart.php, na linha 186

2021-11-10T14:11:25+00:00 CRITICAL syntax error, unexpected end of file, expecting elseif (T_ELSEIF) or else (T_ELSE) or endif (T_ENDIF), em /opt/bitnami/apps/wordpress/htdocs/wp-content/themes/mipro/woocommerce/cart/cart.php, na linha 186

2021-11-10T14:46:58+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T14:46:59+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T14:47:00+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T16:55:34+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T16:55:36+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1071

2021-11-10T16:55:38+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T16:55:39+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T16:55:40+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T17:49:30+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T17:50:26+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T17:50:27+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T17:50:29+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T18:20:15+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T18:20:16+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T18:20:17+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T18:20:17+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T18:20:18+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T18:20:18+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T18:20:18+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T18:20:18+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T18:20:18+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T18:20:18+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T18:42:25+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1071

2021-11-10T18:42:25+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T18:42:25+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T18:42:25+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T18:42:26+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T19:48:41+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T19:48:43+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T19:48:44+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T19:48:44+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T19:48:45+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T19:48:45+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T20:10:28+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1071

2021-11-10T20:10:28+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1085

2021-11-10T20:10:29+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1071

2021-11-10T20:10:29+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T20:10:29+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T20:10:29+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T22:49:45+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T22:49:46+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T22:49:47+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T22:49:47+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/wp-db.php, na linha 2720

2021-11-10T22:49:49+00:00 CRITICAL Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes), em /opt/bitnami/apps/wordpress/htdocs/wp-includes/meta.php, na linha 1071

