1303-13-2,"Tapete de Couro – Caramelo – 1,0 x 1,5 m Quadriculado (10×10)",0,0
1103-15-2,"Tapete de Couro – Cinza Claro – 1,0 x 1,5 m Quadriculado (5×5)",0,0
1103-11-2,"Tapete de Couro – Exótico Escuro – 1,0 x 1,5 m Quadriculado (5×5)",0,1
1102-08-2,"Tapete de Couro - Marrom Avermelhado Malhado - 0,50 x 1,0m Quadriculado (5x5)",0,0
5021,"Almofada Pele de Ovelha Branca/Off Whithe",0,3
5023,"Almofada Pele de Ovelha Preta",0,2
5022,"Almofada Pele de Ovelha Chamuscada",0,4
1203-18-2,"Tapete de Couro – Preto e Branco – 1,0 x 1,5 m Quadriculado (7×7)",0,0
1104-03-2,"Tapete de Couro – Champanhe Malhado – 1,5 x 2,0 m Quadriculado (5×5)",0,0
1304-15-2,"Tapete de Couro – Cinza Claro – 1,5 x 2,0 Quadriculado (10×10)",0,0
1104-11-2,"Tapete de Couro – Exótico Escuro – 1,5 x 2,0 m Quadriculado (5×5)",0,1
1304-18-2,"Tapete de Couro – Preto e Branco – 1,5 x 2,0 Quadriculado (10×10)",0,0
1304-10-2,"Tapete de Couro – Champanhe – 1,5 x 2,0 Quadriculado (10×10)",0,0
1206-15-2,"Tapete de Couro - Cinza - 2,0 x 2,5m Quadriculado (7x7)",0,0
4204-1,"Banqueta Pés Palito M - Metalizado Colorido - Couro Legítimo",0,0
1104-22-2,"Tapete de Couro – Bege e Cinza – 1,5 x 2,0 m Quadriculado (5×5)",0,0
1104-14-2,"Tapete de Couro – Bege – 1,5 x 2,0 Quadriculado (5×5)",0,1
4202-14,"Banqueta Barril M - Couro Legítimo",0,0
4208-cinza-escuro,"Banqueta Giratória Áustria - Couro Legítimo - Cinza Escuro",0,0
1207-15-2,"Tapete de Couro - Cinza Claro - 2,0 x 3,0 Quadriculado (7x7)",0,0
1307-07-2,"Tapete de Couro - Malhado Vermelho - 2,0 x 3,0 Quadriculado (10x10)",0,0
1307-25-2,"Tapete de Couro - Tricolor - 2,0 x 3,0 Quadriculado (10x10)",0,0
1207-27-2,"Tapete de Couro - Marrom com Cinza - 2,0 x 3,0 Quadriculado (7x7)",0,0
1207-12-2,"Tapete de Couro - Branco - 2,0 x 3,0 Quadriculado (7x7)",0,0
1207-02-2,"Tapete de Couro - Exótico Claro - 2,0 x 3,0 Quadriculado (7x7)",0,0
1207-03-2,"Tapete de Couro - Champanhe Malhado - 2,0 x 3,0 Quadriculado (7x7)",0,0
1307-27-2,"Tapete de Couro - Marrom com Cinza - 2,0 x 3,0 Quadriculado (10x10)",0,0
1307-13-2,"Tapete de Couro - Caramelo - 2,0 x 3,0 Quadriculado (10x10)",0,0
1307-04-2,"Tapete de Couro - Bege Malhado - 2,0 x 3,0 Quadriculado (10x10)",0,0
1307-28-2,"Tapete de Couro - Champanhe Escuro - 2,0 x 3,0 Quadriculado (10x10)",0,0
1307-05-2,"Tapete de Couro - Bege Claro - 2,0 x 3,0 Quadriculado (10x10)",0,0
1201-15-2,"Tapete de Couro - Cinza Claro- 40 x 60cm Quadriculado (5x7)",0,0
1101-12-2,"Tapete de Couro - Branco - 40 x 60cm Quadriculado (5x5)",0,2
1104-01-2,"Tapete de Couro – Preto e Branco – 1,5 x 2,0 m Quadriculado (5×5)",0,1
1104-02-2,"Tapete de Couro – Exótico Claro – 1,5 x 2,0 Quadriculado (5×5)",0,2
6001-1,"Capa de Almofada em Couro Legítimo Metalizado Cobre",0,0
6001-2,"Capa de Almofada em Couro Legítimo Metalizado Dourado",0,0
6001-3,"Capa de Almofada em Couro Legítimo Metalizado Prateado",0,0
1204-08-2,"Tapete de Couro – Marrom Avermelhado Malhado – 1,5 x 2,0 m Quadriculado (7×7)",0,0
1204-18-2,"Tapete de Couro – Preto e Branco – 1,5 x 2,0 m Quadriculado (7×7)",0,1
5060,"Tapete Pele de Ovelha Branco/Off White",0,0
5061,"Tapete Pele de Ovelha Chamuscado",0,3
5063,"Tapete Pele de Ovelha Preto",0,3
1206-05-2,"Tapete de Couro - Bege Claro - 2,0 x 2,5m Quadriculado (7x7)",0,0
1206-14-2,"Tapete de Couro - Bege Médio - 2,0 x 2,5m Quadriculado (7x7)",0,0
1206-08-2,"Tapete de Couro - Marrom Avermelhado Malhado - 2,0 x 2,5 Quadriculado (7x7)",0,0
1206-06-2,"Tapete de Couro - Preto e Branco Malhado - 2,0 x 2,5m Quadriculado (7x7)",0,0
1204-15-2,"Tapete de Couro – Cinza Claro – 1,5 x 2,0 Quadriculado (7×7)",0,0
4208-PRETO,"Banqueta Giratória Áustria - Couro Legítimo - Preto",0,0
1106-12-2,"Tapete de Couro - Branco - 2,0 x 2,5m Quadriculado (5x5)",0,0
1106-15-2,"Tapete de Couro - Cinza Claro - 2,0 x 2,5m Quadriculado (5x5)",0,0
1106-05-2,"Tapete de Couro - Bege Claro - 2,0 x 2,5m Quadriculado (5x5)",0,0
1106-10-2,"Tapete de Couro - Champanhe - 2,0 x 2,5m Quadriculado (5x5)",0,0
1107-15-2,"Tapete de Couro - Cinza Claro - 2,0 x 3,0 Quadriculado (5x5)",0,0
1304-22-2,"Tapete de Couro – Cinza e Bege – 1,5 x 2,0 m Quadriculado (10×10)",0,0
2316,"Tapete de Couro Grande 2,31 x 1,99 m",0,1
1102-17-2,"Tapete de Couro - Off White - 0,50 x 1,0m Quadriculado (5x5)",0,0
7107-05-2,"Tapete de Couro - Passadeira - Bege Claro - 0,60 x 2,0m - Quadriculado (5x5)",0,1
1102-02-2,"Tapete de Couro - Exótico Claro - 0,50 x 1,0m Quadriculado (5x5)",0,6
1203-17-2,"Tapete de Couro – Branco – 1,0 x 1,5 m Quadriculado (7×7)",0,0
1203-15-2,"Tapete de Couro – Cinza – 1,0 x 1,5 m Quadriculado (7×7)",0,1
1203-14-2,"Tapete de Couro – Bege Médio – 1,0 x 1,5 m Quadriculado (7×7)",0,0
4102-3,"Namoradeira - Couro Legítimo",0,0
4208-branco,"Banqueta Giratória Áustria - Couro Legítimo - Branco",0,0
4208-caramelo,"Banqueta Giratória Áustria - Couro Legítimo - Caramelo",0,0
4208-marrom,"Banqueta Giratória Áustria - Couro Legítimo - Marrom",0,0
